identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
4689,Centro Deportivo Municipal San Blas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=424b42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE ARCOS DE JALON, 59",HELLIN,40.428810107016545,-3.6113273589762334,"Centros Espacios Deporte,  Gimnasios"
4692,Centro Deportivo Municipal San Fermín,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee8b42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE SAN MARIO, 18",SAN FERMIN,40.37530577421291,-3.6927010241442946,"Centros Espacios Deporte,  Piscinas"
4679,Centro Deportivo Municipal San Juan Bautista,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=35bb42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE TREVIANA, 1",SAN JUAN BAUTISTA,40.44864976316054,-3.6585711797466836,"Centros Espacios Deporte,  Gimnasios"
4706,Centro Deportivo Municipal Santa Ana,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8bdb42be9971c010VgnVCM1000000b205a0aRCRD,"PASEO ALAMEDILLAS, 5",VALVERDE,40.49809469315447,-3.696358010199944,"Centros Espacios Deporte,  Campos Estadios Futbol"
4684,Centro Deportivo Municipal Triángulo de Oro,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=002f79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE BRAVO MURILLO, 376",CASTILLEJOS,40.46512519238624,-3.6928208378255807,"Centros Espacios Deporte,  Gimnasios"
120275,Centro Deportivo Municipal Valdebernardo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a64f79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE LADERA DE LOS ALMENDROS, 2",CASCO H.VICALVARO,40.40418961057298,-3.622901144863193,"Centros Espacios Deporte,  Gimnasios"
4677,Centro Deportivo Municipal Vallecas,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=282c42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE ARROYO DEL OLIVAR, 51",PALOMERAS BAJAS,40.390368919782446,-3.657213682860775,"Centros Espacios Deporte,  Piscinas"
7411340,Centro Deportivo Municipal Vallehermoso,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=28906e8a84805410VgnVCM2000000c205a0aRCRD,"AVENIDA FILIPINAS, 7",VALLEHERMOSO,40.44064843863945,-3.709053489027435,"Centros Espacios Deporte,  Gimnasios"
4688,Centro Deportivo Municipal Vicálvaro,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4d6f79262ef5d010VgnVCM1000000b205a0aRCRD,"PASEO POLIDEPORTIVO, 3",AMBROZ,40.40914061858403,-3.603264732850392,"Centros Espacios Deporte,  Gimnasios"
4699,Centro Deportivo Municipal Vicente del Bosque,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e156b0c40971c010VgnVCM1000000b205a0aRCRD,"AVENIDA MONFORTE DE LEMOS, 13",LA PAZ,40.4789135943213,-3.693540659747283,"Centros Espacios Deporte,  Gimnasios"
72028,Club de Campo Villa de Madrid,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ef93827a9e41c010VgnVCM2000000c205a0aRCRD,"CARRETERA CASTILLA, KM 2",CASA DE CAMPO,40.44933381459483,-3.7627187037675474,"Centros Espacios Deporte,  Pistas Tenis Badminton"
5273495,Madrid Caja Mágica,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b7c3a201600ff110VgnVCM1000000b205a0aRCRD,"CAMINO PERALES, 23",SAN FERMIN,40.369079808434435,-3.685252060454517,"Centros Espacios Deporte,  Pistas Tenis Badminton"
